,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Denmark,0.03153767,0.090683966,0.085057973,0.073578053,0.068512493,0.129190345,0.09762703,0.024140542,0.099795102,0.047344802,0.083612118,0.065082104,0.059211229,0.042412385,0.045526335,0.032291208,0.039700822,0.071459764,0.029527406,0.272128628,0.050000218,0.124513659,0.076896526,0.091143371,0.119923134,0.070220336,0.317310578,0.036461547,0.068901338,0.134346784,0.056685174,0.029499594,0.047688067,0.097765799,0.237735033,0.126414795,0.024389013,0.152000527,0.092434838,0.101142915,0.112460724,0.071610667,0.077474727,0.04399795,0.163303571,0.154559505,0.076745253,0.154453123,0.141968632,0.121571361,0.077825049
Ireland,0.166019054,0.156953019,0.146160413,0.161331695,0.15649213,0.195731714,0.544141227,0.308340557,0.540379858,0.208902138,0.171343983,0.121691981,0.117451782,0.381711464,0.235219398,0.049317481,0.0583259,0.429892867,0.243471594,0.583726293,0.214411417,1.261099879,0.154812514,0.136396374,0.345320831,0.216512702,0.763260581,0.133926067,0.100204662,0.807291036,0.398038226,0.090568928,0.619121474,0.240330914,0.012349872,0.297977732,0.056767531,0.393298314,0.517478993,0.467280267,0.379554944,0.048695254,0.207655309,0.082957492,0.103198784,0.906280736,0.205153163,0.213646388,0.077744727,0.204679467,0.477326969
Norway,0.04819908,0.333089184,0.051182527,0.104629342,0.038848275,0.088783609,0.07998128,0.050475678,0.100856752,0.044941283,0.021815928,0.026571983,0.197047204,0.03682884,0.030631917,0.109790107,0.031368551,0.048206984,0.046104195,0.184881281,0.056004611,0.035809542,0.040487186,0.109414537,0,0.035500281,0.283006732,0.029449711,0.025859268,0.136767447,0.04237726,0.051236136,0.048145506,0.052245851,0.203772886,0.047912313,0.041209022,0.212019997,0.081061674,0.062034321,0.063449125,0.108848214,0.009792345,0.039104681,0.118319485,0.108894197,0.041929114,0.166108231,0.027041644,0.136338504,0.145273425
Sweden,0.079141699,0.205782847,0.128325677,0.068177829,0.119153824,0.228539018,0.188349202,0.013167568,0.356714406,0.092195386,0.101682823,0.090883884,0.072800691,0.068017734,0.031756024,0.155584911,0.045582426,0.180917974,0.129506167,0.386381105,0.083515649,0.141253541,0.134568921,0.131084989,0.037566283,0.099088696,0.132927404,0.031553262,0.066859817,0.344944446,0.056635494,0.05227121,0.094735718,0.195651704,0.108061379,0.08163521,0.045834525,0.21567972,0.111836119,0.092377196,0.261015262,0.048695254,0.132196653,0.062575783,0.233236813,0.40747506,0.116521755,0.193915299,0.141968632,0.175488604,0.124520079
United_Kingdom,2.307010288,1.574761955,1.979866799,1.949480903,1.233435129,2.499842451,3.017806863,2.06730822,3.193443249,1.781869707,1.892555151,0.70666071,2.212170334,1.080500624,1.771311664,1.217672097,1.536078735,2.045110394,1.558218202,5.816489748,1.404263774,2.242712758,2.142762479,1.22544281,2.363786103,2.14406092,5.608678873,1.072810905,1.334984697,5.070078187,1.250203689,1.689757431,1.366303132,2.535184878,1.077526321,2.292235625,1.467545792,3.013172566,2.322913136,1.69582954,4.017431412,1.950674572,2.289104576,1.057588796,2.102911491,6.343965154,1.946147295,2.039735658,4.894537588,2.035461748,4.124727612
Austria,0.164828953,0.078476509,0.115661959,0.066152745,0.068120666,0.154212866,0.131192316,0.029627029,0.116781502,0.090268036,0.06020447,0.075864937,0.246551674,0.156621267,0.0798116,0.061646852,0.013233607,0.094712545,0.07873975,0.405076965,0.074891157,0.088186389,0.165880953,0.094117747,0.164713702,0.189594907,0.458813945,0.042071016,0.121470508,0.361889085,0.104875024,0.112823008,0.121335824,0.087797051,0.101886443,0.299820513,0.063916035,0.136873669,0.134582449,0.036411449,0.171350631,0.02577984,0.119524207,0.023077153,0.125501818,0.523394689,0.143850553,0.077180675,0.429286101,0.292252058,0
Belgium,0.04819908,0.022670992,0.054137395,0.094503922,0.063447405,0.181274258,0.137905373,0.108632438,0.231439704,0.077978341,0.090634413,0.076250039,0.079595422,0.051831093,0.043840174,0.011742257,0.027937616,0.142919528,0.126916044,0.207731777,0.122707959,0.109499538,0.104858899,0.062249435,0.196500556,0.093627114,0.291582694,0.040668649,0.056652212,0.073830215,0.075762393,0.084358487,0.117447588,0.105932967,0.024699744,0.060627504,0.042050023,0.09393291,0.075821098,0.047874313,0.153113756,0.031508694,0.046081622,0.040079188,0.087322048,0.119432345,0.11464992,0.081218665,0.405624662,0.11779372,0.326865207
France,0.548041392,0.483066513,0.340654018,0.373290492,0.389686906,0.41018398,0.667086073,0.276518934,2.178505834,0.426103221,0.339410895,0.32926153,0.387299677,0.290569956,0.301541713,0.125642155,0.24702734,0.445772815,0.494195534,1.017885706,0.469325194,0.651388504,0.457155673,0.341628301,0.362659115,0.505976531,0.934779812,0.198434958,0.352842903,0.975527099,0.324114002,0.325013068,0.56937493,0.368363276,0.944765198,0.500315116,0.224967621,0.594095158,0.459498154,0.383668791,0.765948716,0.114577067,0.441231531,0.235415986,0.311864458,1.32780666,0.495381246,0.420409838,0.780827474,0.333119267,0.570717028
Germany,3.673840991,2.183390883,1.622116762,1.865102402,0.720915042,2.559525795,1.338967187,1.514270352,1.786756978,1.238628914,1.633292042,1.08059398,2.482988905,1.063073195,1.860678174,1.409070894,1.630184388,2.907164692,1.818266586,4.53063005,1.214088271,1.068591235,2.595112119,1.439385409,2.645533224,3.006990825,9.600788988,1.517361306,1.106164203,2.826123793,0.895387287,2.395677533,0.937933924,1.881571267,1.377010714,2.616012295,2.256404218,2.029438818,2.057650795,1.006034861,3.489701865,1.893386039,2.063592638,0.730030073,1.874966923,3.969369116,1.793686299,1.680262763,4.103569497,2.955145662,3.626647297
Netherlands,0.152927945,0.357504098,0.293270606,0.135005603,0.173044458,0.281178987,0.244163476,0.195318929,0.325926555,0.172191776,0.204489212,0.144798053,0.482425913,0.128195945,0.192784357,0.235432262,0.127434739,0.179783692,0.26626468,0.803921976,0.149673143,0.209334814,0.558082364,0.161466112,0.433457109,0.178671743,1.114875005,0.094659786,0.145968761,0.734671153,0.120573986,0.211672523,0.122410807,0.203458555,0.108061379,0.343862986,0.120683565,0.528708093,0.203824951,0.182731533,0.260635327,0.44971499,0.198438985,0.108045861,0.595755619,0.846564564,0.203842878,0.331023419,0.378583018,0.370552257,0.435820276
Switzerland,0.036298073,0.176136165,0.086007752,0.028351177,0.093914391,0.250410555,0.094366402,0.093270275,0.182603803,0.074055615,0.044942684,0.169829631,0.288290737,0.044047969,0.048898656,0.039923675,0.040190956,0.044236997,0.060608886,0.180726646,0.076528718,0.140735813,0.066847548,0.079883235,0.017338284,0.095577679,0.617469234,0.051186403,0.069071465,0.480501561,0.075812073,0.078148047,0.104136099,0.091760529,0.021612276,0.081082376,0.029855516,0.175666741,0.107822061,0.105862918,0.165271672,0.297900375,0.061346159,0.039664504,0.138354414,0.519881973,0.079927373,0.104345336,0.111546782,0.140459567,0.549963682
Greece,0.157688348,0.287747201,0.138034528,0.045901905,0.102658837,0.140311466,0.781399845,0.723118958,0.242056204,0.216883637,0.075559888,0.01925506,0.132982596,0.678541758,0.390627196,0.12681638,0.044112025,0.116263902,0.121217772,0.477783086,0.361573631,0.837425544,0.395405433,0.097092123,0.359769401,0.215342363,0.060031731,0.126914231,0.138993564,1.031202343,0.440763248,0.233926603,0.66367608,0.250419768,0.058661891,0.560205507,0.045414025,0.176886649,0.653956969,0.4753717,0.400071428,0.037237547,0.220903776,0.082211061,0.174266079,0.488267528,0.276938052,0.090763006,0.466468361,0.324877141,0.181591782
Italy,0.236830048,0.347040564,0.508764876,0.222759245,0.300952284,0.396467932,3.087814459,1.094005465,1.057403416,0.683234475,0.240256098,0.232986229,0.335853855,0.926135335,0.386973848,0.225451343,0.214188388,0.312494683,0.391108625,0.631504601,0.451857868,1.526176775,1.149806958,0.230726576,0.244180838,0.831720866,0.698940869,0.238402423,0.306738551,1.008206047,1.829177414,0.252040389,1.998598863,0.52690241,0.129673655,1.407332058,0.151800582,0.244957511,1.952393271,1.778092445,0.492015669,0.045830827,0.35482849,0.141386437,0.228322585,0.814950119,0.490420882,0.207405857,2.078826393,0.72255973,0.669295424
Portugal,0.456998685,0.066269052,0.058253103,0.011475476,0.247654171,0.050786449,1.710870549,0.097659465,0.057329101,0.237426928,0.054212113,0.057765181,0.172780307,0.025661749,0.053395084,0.029355644,0.063227236,0.049908407,0.052320492,0.508942853,0.176310814,4.459280237,0.040778461,0.035480054,0.130037133,0.047593783,0.021439904,0.013322488,0.097312508,1.353150493,1.479329038,0.042955549,0.242740264,0.108695391,0,0.051782154,0.179974097,0.035865293,0.36115373,11.11425778,0.299388685,0,0.096195386,0.035455464,0.040069858,0.101868765,0.188587419,0.058183767,0.236614386,0.044301428,0.202345128
Spain,0.135671485,0.083708277,0.206102013,0.185632704,0.146266384,0.306016155,0.443061768,0.17447028,1.603091525,0.490816854,0.182954176,0.150959672,0.410595898,0.166265573,0.479431651,0.352854836,0.274964955,0.349358847,0.308224678,0.517252124,0.257315534,0.446022941,0.212047996,0.189510227,0.439236538,0.336667499,0.939067793,0.221574017,0.098503395,0.292900196,0.502664849,0.372626447,0.315061447,0.222194998,0.373583624,0.308113029,0.176189595,0.159807938,0.284106114,0.233977277,0.487076515,0.229154135,0.148037211,0.20014713,0.34513,0.263453702,0.2832087,0.173266486,0.571254732,0.2568796,0.39950192
Albania,0.01547131,0.020927069,0.138140059,0.012825532,0.014373384,0.022983648,1.120313327,0.062545949,0.348221205,0.235612951,0.035579625,0.001540405,0.170838955,0.296548297,0.07194285,0.052253046,0.037740288,0.09754825,0.006734321,0.243046179,0.081223062,0.868575531,1.7300262,0.034842687,0,0.345249984,0.017151923,0.021035508,0.038618775,0.548280119,0.205278825,0.021736543,0.556703856,0.08311294,0,0.33944031,0.087043547,0.013662969,0.744942287,0.161828664,0.147794668,0.02577984,0.116356096,0.050840232,0.017388806,0.045665308,0.121201344,0.029275429,0.199432125,0.338270596,0
Belarus,0.052959483,0.106379268,0.056564608,0.064127661,0.096093335,0.249854499,0.1528659,0.066935139,0.161370803,0.077116702,0.067788548,0.017714655,0.071830015,0.332361947,0.041029907,0.116248349,0.053424564,0.188290807,0.041441973,0.13918029,0.107205708,0.239276768,0.08825624,0.354800536,0.040455997,0.353052244,0.934779812,0.172491165,0.020755465,0.03509961,0.218096332,0.007245514,0.375580691,0.122267302,0.018524808,0.189069359,0.033219518,0.181522299,0.399733288,0.115302923,0.128797924,0.232018561,0.06278621,0.02316009,0.040069858,0.182661234,0.110999841,0.343412707,0.250135208,0.154883288,0.093390059
Bosnia_and_Herzegovina,0.039273324,0.020927069,0.402706237,0.008100336,0.049226929,0.282105747,0.509425132,0.010972974,0.0254796,0.160264877,0.333512168,0.040820728,0.941555605,0.566081259,0.391470276,3.256715103,0.108809662,1.767778452,0.11655555,0.247200814,0.058733881,0.172834968,0.891591918,0.522640311,0.044790568,3.633902378,0,0.475402479,0.142566226,1.008206047,0.051766829,0.020183933,0.201822302,0.24201239,1.216462379,0.452587081,0.034060518,0.160783864,0.358366189,0.107885776,0.223781644,0.512732377,0.227528009,0.088659394,0.643763845,3.435436279,0.244555299,0.297159366,0,0.423782655,0.025941683
Bulgaria,0.088067455,0.139513794,0.182146479,0.035776485,0.091878799,0.19814129,0.208296571,0.312729747,0.336543055,0.137590163,0.199620422,0.129779106,0.500868755,0.752537834,0.240558906,0.179656539,0.164194759,0.199633627,0.185452831,0.587880928,0.166157931,0.262056814,0.218164765,0.107077527,0.108364277,0.543037264,0.304446636,0.028047344,0.334128959,0.290479533,0.143973387,0.038297718,0.10726956,0.112418659,0.067924295,0.207128615,0.064757035,0.131750056,0.23894796,0.111257206,0.177809523,0,0.139108897,0.04642385,0.137220362,0.101868765,0.245116849,0.249621209,0.108166577,0.23558744,0.160838435
Croatia,0.130911082,0.041854138,0.094133638,0.016200672,0.04747804,0.076550377,0.097243427,0.103145952,0.089178601,0.076459135,0.063575172,0.039280323,0.167926928,0.202981613,0.288614482,0.253632761,0.054404831,0.139516682,0.121735797,0.064396851,0.015611422,0.068081273,0.113888416,0.067560821,0.002889714,0.227435865,0.038591827,0.045576934,0.106159099,0.278376219,0.123803203,0.004657831,0.147661466,0.053807221,0.262434777,0.442267506,0.028173515,0.067582899,0.091431324,0.028320016,0.021276353,0.541376643,0.080354828,0.024030925,0.148560887,0.154559505,0.041648338,0.028633021,0.070984316,0.29431259,0.083013386
